"","poly","x","y"
"3395",24,0.112882,-0.375545
"3396",24,0.112886,-0.375006
"3397",24,0.110625,-0.374963
"3398",24,0.109812,-0.375012
"3399",24,0.110086,-0.375832
"3400",24,0.110506,-0.377189
"3401",24,0.110351,-0.378115
"3402",24,0.110311,-0.37812
"3403",24,0.109288,-0.378231
"3404",24,0.104274,-0.378589
"3405",24,0.103957,-0.378611
"3406",24,0.103896,-0.378616
"3407",24,0.099733,-0.378929
"3408",24,0.099588,-0.37894
"3409",24,0.099486,-0.378947
"3410",24,0.097685,-0.379078
"3411",24,0.094258,-0.379267
"3412",24,0.092409,-0.379474
"3413",24,0.091412,-0.379584
"3414",24,0.089723,-0.37972
"3415",24,0.089228,-0.379044
"3416",24,0.089559,-0.378378
"3417",25,0.028574,-0.449417
"3418",25,0.028537,-0.447584
"3419",25,0.028507,-0.446116
"3420",25,0.028457,-0.44369
"3421",25,0.031778,-0.443615
"3422",25,0.031918,-0.443612
"3423",25,0.033105,-0.443583
"3424",25,0.036046,-0.443522
"3425",25,0.036489,-0.443512
"3426",25,0.038138,-0.443475
"3427",25,0.040151,-0.443421
"3428",25,0.04075,-0.443405
"3429",25,0.043784,-0.443324
"3430",25,0.04404,-0.443317
"3431",25,0.047623,-0.443249
"3432",25,0.04764,-0.443248
"3433",25,0.05087,-0.443171
"3434",25,0.054921,-0.44307
"3435",25,0.057154,-0.44299
"3436",25,0.057155,-0.44299
"3437",25,0.059974,-0.442884
"3438",25,0.065583,-0.442656
"3439",25,0.066002,-0.442639
"3440",25,0.066357,-0.442625
"3441",25,0.068847,-0.442522
"3442",25,0.070279,-0.442461
"3443",25,0.07076,-0.442851
"3444",25,0.071704,-0.443554
"3445",25,0.071771,-0.444415
"3446",25,0.070827,-0.445161
"3447",25,0.070514,-0.445819
"3448",25,0.070606,-0.446455
"3449",25,0.071279,-0.447055
"3450",25,0.072117,-0.447264
"3451",25,0.071545,-0.448002
"3452",25,0.071903,-0.449471
"3453",25,0.072276,-0.449833
"3454",25,0.072368,-0.449922
"3455",25,0.072377,-0.449936
"3456",25,0.072976,-0.450893
"3457",25,0.07226,-0.451005
"3458",25,0.072439,-0.452294
"3459",25,0.073723,-0.452466
"3460",25,0.073488,-0.453763
"3461",25,0.074457,-0.453881
"3462",25,0.074121,-0.454929
"3463",25,0.073548,-0.456168
"3464",25,0.071834,-0.456372
"3465",25,0.072938,-0.458074
"3466",25,0.073015,-0.458192
"3467",25,0.072408,-0.459116
"3468",25,0.072408,-0.459586
"3469",25,0.071902,-0.460251
"3470",25,0.071032,-0.460538
"3471",25,0.071024,-0.461473
"3472",25,0.07027,-0.462269
"3473",25,0.070142,-0.462401
"3474",25,0.069494,-0.463066
"3475",25,0.068667,-0.462946
"3476",25,0.0685,-0.463717
"3477",25,0.069121,-0.464592
"3478",25,0.069151,-0.464634
"3479",25,0.068253,-0.464901
"3480",25,0.068242,-0.464904
"3481",25,0.068098,-0.466461
"3482",25,0.067112,-0.466926
"3483",25,0.067232,-0.467495
"3484",25,0.067561,-0.468206
"3485",25,0.066802,-0.468451
"3486",25,0.066424,-0.469098
"3487",25,0.066574,-0.470134
"3488",25,0.066288,-0.471001
"3489",25,0.066276,-0.471912
"3490",25,0.066718,-0.472711
"3491",25,0.065921,-0.473274
"3492",25,0.065067,-0.473205
"3493",25,0.064752,-0.473806
"3494",25,0.065592,-0.474481
"3495",25,0.06558,-0.474511
"3496",25,0.065168,-0.475496
"3497",25,0.065606,-0.476273
"3498",25,0.066151,-0.476982
"3499",25,0.065176,-0.477806
"3500",25,0.065051,-0.477911
"3501",25,0.071202,-0.477619
"3502",25,0.071916,-0.477582
"3503",25,0.073644,-0.477492
"3504",25,0.077133,-0.477302
"3505",25,0.078132,-0.477247
"3506",25,0.080984,-0.47708
"3507",25,0.081277,-0.477063
"3508",25,0.084259,-0.476881
"3509",25,0.084277,-0.47688
"3510",25,0.085564,-0.476798
"3511",25,0.090952,-0.47644
"3512",25,0.091869,-0.476377
"3513",25,0.093472,-0.476266
"3514",25,0.093472,-0.476269
"3515",25,0.093249,-0.477851
"3516",25,0.092734,-0.479508
"3517",25,0.092174,-0.481179
"3518",25,0.092392,-0.482188
