id,poly,x,y
2302,1,0.32209,-0.197058
2302,1,0.322694,-0.197027
2302,1,0.322655,-0.199265
2302,1,0.318988,-0.199456
2302,1,0.319072,-0.200044
2302,1,0.31927,-0.200203
2302,1,0.319357,-0.201903
2302,1,0.320034,-0.20202
2302,1,0.320681,-0.20183
2302,1,0.323391,-0.201629
2302,1,0.323312,-0.20317
2302,1,0.322144,-0.203234
2302,1,0.321916,-0.204393
2302,1,0.320542,-0.204473
2302,1,0.32079,-0.206644
2302,1,0.320615,-0.206882
2302,1,0.320899,-0.207081
2302,1,0.32057,-0.208068
2302,1,0.320241,-0.208519
2302,1,0.318556,-0.207764
2302,1,0.31722,-0.206976
2302,1,0.316875,-0.208005
2302,1,0.315261,-0.20762
2302,1,0.314612,-0.208279
2302,1,0.313868,-0.208003
2302,1,0.31355,-0.206448
2302,1,0.31288,-0.20575
2302,1,0.310933,-0.207986
2302,1,0.312747,-0.209585
2302,1,0.312192,-0.211659
2302,1,0.312609,-0.212304
2302,1,0.31181,-0.212692
2302,1,0.310469,-0.213412
2302,1,0.310233,-0.213331
2302,1,0.309989,-0.212557
2302,1,0.308695,-0.208303
2302,1,0.307851,-0.205522
2302,1,0.307714,-0.205086
2302,1,0.307625,-0.204803
2302,1,0.30742,-0.204151
2302,1,0.306897,-0.202488
2302,1,0.306583,-0.201491
2302,1,0.305345,-0.197541
2302,1,0.303897,-0.193159
2302,1,0.302204,-0.18809
2301,2,0.333358,-0.200693
2301,2,0.333774,-0.200039
2301,2,0.333005,-0.199473
2301,2,0.333432,-0.199219
2301,2,0.334249,-0.198997
2301,2,0.336001,-0.200192
2301,2,0.337994,-0.199338
2301,2,0.338397,-0.199946
2301,2,0.337857,-0.20044
2301,2,0.337767,-0.20159
2301,2,0.33732,-0.201838
2301,2,0.336811,-0.200663
2301,2,0.335582,-0.201366
2301,2,0.334609,-0.202243
2301,2,0.333981,-0.201478
2301,2,0.333358,-0.200693
2301,3,0.334699,-0.204771
2301,3,0.335196,-0.204273
2301,3,0.335777,-0.205105
2301,3,0.335529,-0.206019
2301,3,0.3347,-0.205686
2301,3,0.334699,-0.204771
2301,4,0.310233,-0.213331
2301,4,0.310469,-0.213412
2301,4,0.31181,-0.212692
