id,poly,x_cart,y_cart,x_init,y_init
2302,1,424.33264,357.054984,0.351828,-0.180284
2302,1,425.004777,356.601981,0.352608,-0.18071
2302,1,425.269347,356.305899,0.352781,-0.181647
2302,1,425.806525,356.045819,0.353456,-0.182016
2302,1,425.437591,356.087195,0.352815,-0.183121
2302,1,425.174309,356.172179,0.352395,-0.183734
2302,1,425.026378,356.179272,0.352071,-0.184492
2302,1,424.873005,356.17813,0.351674,-0.185424
2302,1,424.47701,356.384652,0.351042,-0.186077
2302,1,424.264871,356.437608,0.35054,-0.186929
2302,1,423.318081,357.121939,0.349521,-0.18678
2302,1,423.271304,357.090539,0.349272,-0.187262
2302,1,422.906473,357.284311,0.348698,-0.187482
2302,1,422.963378,357.144627,0.348414,-0.188379
2302,1,423.15863,356.918,0.348304,-0.18926
2302,1,423.642052,356.502593,0.348687,-0.189745
2302,1,423.646371,356.264078,0.348026,-0.190825
2302,1,422.52316,357.219686,0.347073,-0.190058
2302,1,421.979936,357.660671,0.346657,-0.189476
2302,1,421.776516,357.74748,0.346143,-0.19007
2302,1,421.067946,358.181391,0.345148,-0.190506
2302,1,421.048392,358.127123,0.344776,-0.191171
2302,1,421.462344,357.766082,0.344803,-0.191991
2302,1,421.383884,357.759689,0.344403,-0.192576
2302,1,420.841538,358.153847,0.343876,-0.192424
2302,1,420.830023,358.153057,0.343811,-0.19252
2302,1,420.788207,358.136869,0.343495,-0.192981
2302,1,420.427052,358.380933,0.343061,-0.193054
2302,1,420.934618,357.915449,0.342942,-0.194179
2302,1,419.955175,358.629599,0.342124,-0.193812
2302,1,419.42044,359.011888,0.341748,-0.193509
2302,1,419.073802,359.203035,0.341059,-0.19396
2302,1,419.839168,358.636633,0.341473,-0.194665
2302,1,420.012981,358.476486,0.341365,-0.195095
2302,1,420.293444,358.201068,0.341117,-0.195897
2302,1,421.467356,357.146896,0.341983,-0.196386
2302,1,420.068575,358.293192,0.340359,-0.196711
2302,1,420.589049,357.834953,0.34045,-0.197372
2302,1,421.977537,356.270418,0.340706,-0.198933
2302,1,420.868935,357.348766,0.339377,-0.199173
2302,1,420.731272,357.327932,0.338688,-0.199679
2302,1,420.724834,357.245646,0.338397,-0.199946
2302,1,419.84994,358.112055,0.337994,-0.199338
2302,1,418.717597,358.831603,0.336001,-0.200192
2302,1,416.542278,360.236181,0.334249,-0.198997
2302,1,416.096482,360.405008,0.333432,-0.199219
2302,1,415.976076,360.414931,0.333005,-0.199473
2302,1,415.623038,360.615611,0.332725,-0.199266
2302,1,414.89644,360.946421,0.331839,-0.199311
2302,1,413.775389,361.397399,0.330513,-0.199238
2302,1,411.605266,362.199311,0.32822,-0.197916
2302,1,411.941306,361.795878,0.327564,-0.199131
2302,1,411.256837,362.069146,0.326825,-0.198713
2302,1,411.215405,361.948663,0.326393,-0.199039
2302,1,410.7971,361.843163,0.325485,-0.199099
2302,1,410.098597,362.448236,0.32563,-0.196855
2302,1,409.441151,362.625649,0.324664,-0.196573
2302,1,409.075437,362.921401,0.324589,-0.195386
2302,1,408.458189,362.999744,0.323172,-0.195494
2302,1,408.110387,363.076789,0.322415,-0.195543
2302,1,408.248946,362.951726,0.322503,-0.196035
2302,1,408.250051,362.740056,0.32209,-0.197058
2302,1,408.561696,362.6443,0.322694,-0.197027
2302,1,409.125067,361.825957,0.322655,-0.199265
2302,1,407.278178,362.396129,0.318988,-0.199456
2302,1,407.368995,362.225889,0.319072,-0.200044
2302,1,407.471132,362.150426,0.31927,-0.200203
2302,1,407.737607,361.499723,0.319357,-0.201903
2302,1,408.140536,361.223545,0.320034,-0.20202
2302,1,408.526606,361.040156,0.320681,-0.20183
2302,1,410.741655,360.036942,0.323391,-0.201629
2302,1,411.557626,358.712096,0.323312,-0.20317
2302,1,409.611433,360.146597,0.322144,-0.203234
2302,1,409.962916,359.326636,0.321916,-0.204393
2302,1,408.616494,360.357457,0.320542,-0.204473
2302,1,409.080135,359.487835,0.32079,-0.206644
2302,1,408.927248,359.570338,0.320615,-0.206882
2302,1,409.422498,358.99657,0.320899,-0.207081
2302,1,409.667882,358.243027,0.32057,-0.208068
2302,1,409.613684,358.047891,0.320241,-0.208519
2302,1,408.017913,359.727534,0.318556,-0.207764
2302,1,407.21279,360.46109,0.31722,-0.206976
2302,1,407.35841,359.824262,0.316875,-0.208005
2302,1,406.617975,360.262837,0.315261,-0.20762
2302,1,406.641076,359.465208,0.314612,-0.208279
2302,1,406.420474,359.300141,0.313868,-0.208003
2302,1,406.002042,360.415709,0.31355,-0.206448
2302,1,405.762222,360.522848,0.31288,-0.20575
2302,1,405.165841,359.276082,0.310933,-0.207986
2302,1,406.580456,356.271459,0.312747,-0.209585
2302,1,405.408656,357.517531,0.312192,-0.211659
2302,1,405.67746,356.42427,0.312609,-0.212304
2302,1,405.277143,356.634775,0.31181,-0.212692
2302,1,405.141662,354.80609,0.310469,-0.213412
2302,1,405.092425,354.736919,0.310233,-0.213331
2302,1,404.893293,355.944656,0.309989,-0.212557
2302,1,404.453661,358.883972,0.308695,-0.208303
2302,1,404.093453,359.66867,0.307851,-0.205522
2302,1,404.026947,359.763575,0.307714,-0.205086
2302,1,403.982153,359.837816,0.307625,-0.204803
2302,1,403.880407,360.018408,0.30742,-0.204151
2302,1,403.624222,360.332966,0.306897,-0.202488
2302,1,403.471009,360.472517,0.306583,-0.201491
